Food,Rasa,Virya,Vipaka,Dosha_Effect
Palak Paneer,"Sweet, Astringent",Heating,Sweet,"Balances Vata and Pitta, lightly increases Kapha"
Aloo Paratha,"Sweet, Salty, Pungent",Heating,Sweet,Balances all three doshas with a slight Kapha rise
Gobhi Masala,"Bitter, Pungent",Heating,Pungent,"Balances Vata and Kapha, modestly excites Pitta"
Veg Biryani,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata, moderately elevates Pitta, light Kapha increase"
Paneer Sandwich,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, soothes Pitta"
Masala Dosa,"Sweet, Sour, Salty",Heating,Sour,"Balances Vata and Pitta, reduces Kapha slightly"
Pasta Alfredo,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata, increases Kapha slightly, cools Pitta"
Veg Burger,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, helps with Pitta regulation"
Rajma Chawal,"Sweet, Salty, Sour",Heating,Sour,"Balances Vata, mildly increases Pitta, reduces Kapha"
Chana Masala,"Pungent, Bitter, Sweet",Heating,Pungent,"Balances Vata, elevates Pitta, reduces Kapha"
Kadhi Chawal,"Sweet, Sour, Salty",Cooling,Sweet,"Balances all doshas, particularly soothing Pitta"
Baingan Bharta,"Pungent, Bitter, Sweet",Heating,Pungent,"Balances Vata, moderately raises Kapha, calms Pitta"
Daal Tadka,"Sweet, Pungent, Salty",Heating,Sweet,"Balances Vata, increases Pitta slightly, reduces Kapha"
Mutter Paneer,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Pitta, strengthens Kapha confidence"
Roti and Dal,"Salty, Sweet",Cooling,Sweet,"Balances all three doshas, stabilizes Kapha"
Gajar Muli Ki Sabzi,"Sweet, Pungent",Heating,Pungent,"Balances Vata, softens Pitta, reduces Kapha"
Chole Masala,"Pungent, Sour",Heating,Sour,"Balances Kapha, stimulates Pitta reduction"
