S.No,Food,Rasa,Virya,Vipaka,Dosha_Effect
1,Rice,Sweet,Cooling,Sweet,"Balances Vata and Pitta, Increases Kapha"
2,Wheat,Sweet,Cooling,Sweet,"Balances Vata, Increases Kapha"
3,Barley,"Sweet, Astringent",Cooling,Sweet,Balances Kapha and Pitta
4,Mung Dal,"Sweet, Astringent",Cooling,Sweet,Balances all Doshas
5,Black Gram,Sweet,Heating,Sweet,Increases Kapha and Pitta
6,Kidney Beans,Sweet,Heating,Pungent,Increases Vata and Kapha
7,Milk,Sweet,Cooling,Sweet,"Balances Vata and Pitta, Increases Kapha"
8,Ghee,Sweet,Cooling,Sweet,"Balances Vata and Pitta, Increases Kapha"
9,Butter,Sweet,Cooling,Sweet,"Balances Vata, Increases Kapha"
10,Honey,"Sweet, Astringent",Heating,Sweet,"Balances Kapha, Increases Vata and Pitta if overused"
11,Jaggery,Sweet,Heating,Sweet,"Balances Vata, Increases Kapha and Pitta"
12,Sugarcane Juice,Sweet,Cooling,Sweet,"Balances Pitta, Increases Kapha"
13,Apple,"Sweet, Astringent",Cooling,Sweet,Balances Pitta and Kapha
14,Banana,Sweet,Cooling,Sweet,"Increases Kapha, Balances Vata"
15,Mango,Sweet,Heating,Sweet,"Balances Vata, Increases Kapha and Pitta"
16,Pomegranate,"Sweet, Astringent",Cooling,Sweet,Balances Pitta and Kapha
17,Grapes,"Sweet, Astringent",Cooling,Sweet,Balances Vata and Pitta
18,Orange,"Sour, Sweet",Cooling,Sour,"Balances Vata, Increases Pitta"
19,Lemon,Sour,Heating,Sour,"Balances Vata and Kapha, Increases Pitta"
20,Guava,"Sweet, Astringent",Cooling,Sweet,Balances Kapha and Pitta
21,Papaya,Sweet,Heating,Sweet,"Balances Vata, Increases Pitta"
22,Watermelon,Sweet,Cooling,Sweet,"Balances Pitta, Increases Kapha"
23,Cucumber,Sweet,Cooling,Sweet,"Balances Pitta, Increases Kapha"
24,Carrot,Sweet,Heating,Sweet,Balances Vata and Kapha
25,Beetroot,Sweet,Cooling,Sweet,Balances Vata and Pitta
26,Spinach,"Bitter, Astringent",Cooling,Pungent,"Balances Pitta, Increases Vata"
27,Fenugreek Leaves,Bitter,Heating,Pungent,Balances Kapha
